run-name,dataset,data-processed-by,Model-size,Model-config,Model-input-type,Codebase,pearson_delta_val,pearson_res_val,pearson_delta_test,pearson_res_test
scGPT-1.3B-full-finetune,Adamson,gears,1.3B,pretrain{True}_freeze{False},bin,Haotian's,0.67,,0.6,
scGPT-1.3B-freeze-transformer,Adamson,gears,1.3B,pretrain{True}_freeze{True},bin,Haotian's,0.67,,0.62,
scGPT-1.3B-freeze-transformer,Adamson,gears,1.3B,pretrain{True}_freeze{True},bin,Haotian's,0.66,,0.62,
scGPT-70M-full-finetune,Adamson,gears,70M,pretrain{True}_freeze{False},bin,Haotian's,0.69,,0.63,
scGPT-70M-freeze-transformer,Adamson,gears,70M,pretrain{True}_freeze{True},bin,Haotian's,0.7,,0.63,
from-scratch-freeze,Adamson,gears,70M,pretrain{False}_freeze{True},bin,Haotian's,0.78,,0.71,
from-scratch-freeze,Adamson,gears,70M,pretrain{False}_freeze{True},bin,Haotian's,0.78,,0.7,
70m_fullseq_pretrain{True}_freeze{False}_gears,Adamson,gears,70M,pretrain{True}_freeze{False},bin,Far's,0.68,,NA,
70m_fullseq_pretrain{True}_freeze{True}_gears,Adamson,gears,70M,pretrain{True}_freeze{True},bin,Far's,0.54,,0.34,
70m_fullseq_pretrain{False}_freeze{True}_gears,Adamson,gears,70M,pretrain{False}_freeze{True},bin,Far's,0.74,,0.67,
70m_fullseq_pretrain{False}_freeze{False}_gears,Adamson,gears,70M,pretrain{False}_freeze{False},bin,Far's,0.69,,0.66,
70m_log1p_delta_adamson_gears_pretrain{True}_freeze{False},Adamson,gears,70M,pretrain{True}_freeze{False},log1p,Far's-delta,0.74,0.07,0.68,0.15
,Adamson,gears,linear (mean of 5 seeds),linear (mean of 5 seeds),,,,,0.4,
,Adamson,gears,gears,gears,,,,,0.8,
,Adamson,gears,Null,Null,,,0.79,0.01,0.71,0.03
