P31946	ENSG00000166913.13
P62258	ENSG00000108953.17
P62258	ENSG00000274474.3
Q04917	ENSG00000128245.15
P61981	ENSG00000170027.7
P31947	ENSG00000175793.12
P27348	ENSG00000134308.14
P63104	ENSG00000164924.18
Q96QU6	ENSG00000110455.14
Q4AC99	ENSG00000205126.2
Q15172	ENSG00000066027.12
Q15173	ENSG00000068971.14
Q14738	ENSG00000112640.16
Q16537	ENSG00000154001.14
Q13362	ENSG00000078304.20
P30153	ENSG00000105568.19
P30154	ENSG00000137713.16
P63151	ENSG00000221914.11
Q00005	ENSG00000156475.19
Q66LE6	ENSG00000175470.20
Q9Y2T4	ENSG00000074211.14
P14060	ENSG00000203857.10
P26439	ENSG00000203859.10
Q9H2F3	ENSG00000099377.14
Q9Y3L3	ENSG00000100092.24
P78314	ENSG00000087266.18
Q7L8J4	ENSG00000175137.11
O60239	ENSG00000131370.16
P46952	ENSG00000162882.15
P31937	ENSG00000106049.9
P29372	ENSG00000103152.12
Q13541	ENSG00000187840.5
Q13542	ENSG00000148730.7
O60516	ENSG00000243056.2
Q9NRA8	ENSG00000184708.18
P08195	ENSG00000168003.19
P08908	ENSG00000178394.5
P28222	ENSG00000135312.7
P28221	ENSG00000179546.5
P28566	ENSG00000168830.8
P30939	ENSG00000179097.7
P28223	ENSG00000102468.11
P41595	ENSG00000135914.6
P28335	ENSG00000147246.10
P46098	ENSG00000166736.12
O95264	ENSG00000149305.8
Q8WXA8	ENSG00000178084.2
Q70Z44	ENSG00000186090.11
A5X5Y0	ENSG00000186038.9
Q13639	ENSG00000164270.19
P47898	ENSG00000157219.5
P50406	ENSG00000158748.4
P34969	ENSG00000148680.16
Q9Y6E2	ENSG00000136261.16
Q7L1Q6	ENSG00000082153.18
Q9BXI3	ENSG00000116981.4
Q96P26	ENSG00000185013.17
Q9H0P0	ENSG00000122643.24
Q969T7	ENSG00000141698.17
P49902	ENSG00000076685.19
P21589	ENSG00000135318.12
P52209	ENSG00000142657.21
O95336	ENSG00000130313.7
P05408	ENSG00000166922.9
P05408	ENSG00000277614.1
P05408	ENSG00000281931.1
P36639	ENSG00000106268.16
P0DKL9	ENSG00000268223.7
Q8IZ83	ENSG00000161618.10
Q676U5	ENSG00000085978.22
Q676U5	ENSG00000281089.3
Q8NAA4	ENSG00000168010.11
P02763	ENSG00000229314.6
P19652	ENSG00000228278.5
P20848	ENSG00000274821.5
P01009	ENSG00000197249.14
P04217	ENSG00000121410.12
Q9NQ94	ENSG00000148584.16
Q5TYW2	ENSG00000260691.8
P08697	ENSG00000167711.14
P08697	ENSG00000276838.4
P02750	ENSG00000171236.10
P01023	ENSG00000175899.15
A8K2U0	ENSG00000166535.20
A7E2S9	ENSG00000163046.16
U3KPV4	ENSG00000184389.9
Q9NPC4	ENSG00000128274.17
Q9UNA3	ENSG00000118017.4
P05067	ENSG00000142192.22
Q96GX2	ENSG00000253719.4
P30542	ENSG00000163485.18
P29274	ENSG00000128271.22
P29275	ENSG00000170425.4
P0DMS8	ENSG00000282608.2
Q9NS82	ENSG00000130876.11
P22760	ENSG00000114771.14
